WobFile, WobURL, WobTitle, WobDate,PdfName, PdfUrl, PdfDate, Size, PdfTitle, PdfPages (meta), WordsPerPage
3fa52482438ed25b69b0be300baaf3c0,https://wobcovid19.rijksoverheid.nl/publicaties/3fa52482438ed25b69b0be300baaf3c0/,Eerste deelbesluit Wob-verzoek inzake informatie over de door Nederland gevoerde covid-19 aanpak,10/20/2021 0:00,Inventarislijst,https://wobcovid19.rijksoverheid.nl/publicaties/3fa52482438ed25b69b0be300baaf3c0/inventarislijst.pdf,20-10-2021,111 kB,Bijlage 3 - Inventarislijst.xlsm,3 (3),694
3fa52482438ed25b69b0be300baaf3c0,https://wobcovid19.rijksoverheid.nl/publicaties/3fa52482438ed25b69b0be300baaf3c0/,Eerste deelbesluit Wob-verzoek inzake informatie over de door Nederland gevoerde covid-19 aanpak,10/20/2021 0:00,Documenten,https://wobcovid19.rijksoverheid.nl/publicaties/3fa52482438ed25b69b0be300baaf3c0/documenten.pdf,20-10-2021,50 MB,,393 (393),333
439285231fa523a74c430da4a2704fab,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/,Wob- besluit noodzakelijkheidsverklaring,10/21/2021 0:00,Besluit,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/besluit.pdf,21-10-2021,62 kB,,7 (7),405
439285231fa523a74c430da4a2704fab,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/,Wob- besluit noodzakelijkheidsverklaring,10/21/2021 0:00,Inventarislijst,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/inventarislijst.pdf,21-10-2021,145 kB,,1 (1),2125
439285231fa523a74c430da4a2704fab,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/,Wob- besluit noodzakelijkheidsverklaring,10/21/2021 0:00,Deels openbare documenten,https://wobcovid19.rijksoverheid.nl/publicaties/439285231fa523a74c430da4a2704fab/deels-openbare-documenten.pdf,21-10-2021,20 MB,,276 (276),155
54deb5f3a8f0c98e065e8939304d1a78,https://wobcovid19.rijksoverheid.nl/publicaties/54deb5f3a8f0c98e065e8939304d1a78/,Wob deelbesluit aangaande besmettelijkheid kinderen in de periode van maart 2020,11/3/2021 0:00,Wob deelbesluit aangaande besmettelijkheid kinderen in de periode maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/54deb5f3a8f0c98e065e8939304d1a78/wob-deelbesluit-aangaande-besmettelijkheid-kinderen-in-de-periode-maart-2020.pdf,3/11/2021,2 MB,,8 (8),394
54deb5f3a8f0c98e065e8939304d1a78,https://wobcovid19.rijksoverheid.nl/publicaties/54deb5f3a8f0c98e065e8939304d1a78/,Wob deelbesluit aangaande besmettelijkheid kinderen in de periode van maart 2020,11/3/2021 0:00,Bijlagen bij wob deelbesluit aangaande besmettelijkheid kinderen in de periode maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/54deb5f3a8f0c98e065e8939304d1a78/bijlagen-bij-wob-deelbesluit-aangaande-besmettelijkheid-kinderen-in-de-periode-maart-2020.pdf,3/11/2021,28 MB,ERROR,0 (96),0
306d4b337a5d407eb00c8845884c82fd,https://wobcovid19.rijksoverheid.nl/publicaties/306d4b337a5d407eb00c8845884c82fd/,Wob deelbesluit aangaande het RIVM in de periode van maart 2020,11/8/2021 0:00,Wob deelbesluit aangaande het RIVM in de periode van maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/306d4b337a5d407eb00c8845884c82fd/wob-deelbesluit-aangaande-het-rivm-in-de-periode-van-maart-2020.pdf,8/11/2021,20 MB,,89 (89),484
306d4b337a5d407eb00c8845884c82fd,https://wobcovid19.rijksoverheid.nl/publicaties/306d4b337a5d407eb00c8845884c82fd/,Wob deelbesluit aangaande het RIVM in de periode van maart 2020,11/8/2021 0:00,RIVM Maart 2020 documenten,https://wobcovid19.rijksoverheid.nl/publicaties/306d4b337a5d407eb00c8845884c82fd/rivm-maart-2020-documenten.pdf,8/11/2021,2 GB,ERROR,0 (4910),0
c4b89b0939b38dd79efd496ba963dfc4,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/,Wob deelbesluit aangaande overleggen VWS in de periode van maart 2020,11/8/2021 0:00,Wob deelbesluit aangaande overleggen VWS in de periode van maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/wob-deelbesluit-aangaande-overleggen-vws-in-de-periode-van-maart-2020.pdf,8/11/2021,3 MB,,8 (8),382
